Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.52000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref = -6.34891E-10
 -12  -12 Ray Error
 -12  -11 Ray Error
 -12   11 Ray Error
 -12   12 Ray Error
 -11  -12 Ray Error
 -11   12 Ray Error
  11  -12 Ray Error
  11   12 Ray Error
  12  -12 Ray Error
  12  -11 Ray Error
  12   11 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -9	  -4	 -2.55386E+01	 -1.20163E+01	  2.76289E+01	  2.90875E+00	  1.29278E+00	  2.66619E+00	  1.18481E+00	    -8.341272%
  -9	  -3	 -2.55386E+01	 -9.07711E+00	  2.67539E+01	  2.90875E+00	  9.69587E-01	  2.68024E+00	  8.93267E-01	    -7.857551%
  -9	  -2	 -2.55386E+01	 -6.08901E+00	  2.60984E+01	  2.90875E+00	  6.46391E-01	  2.69059E+00	  5.97769E-01	    -7.501289%
  -9	  -1	 -2.55386E+01	 -3.06731E+00	  2.56911E+01	  2.90875E+00	  3.23196E-01	  2.69692E+00	  2.99522E-01	    -7.282994%
  -9	   0	 -2.55386E+01	 -2.84622E-02	  2.55513E+01	  2.90875E+00	 -0.00000E+00	  2.69906E+00	 -1.34501E-04	    -7.209084%
  -9	   1	 -2.55386E+01	  3.01055E+00	  2.56860E+01	  2.90875E+00	 -3.23196E-01	  2.69693E+00	 -2.99795E-01	    -7.281735%
  -9	   2	 -2.55386E+01	  6.03272E+00	  2.60884E+01	  2.90875E+00	 -6.46391E-01	  2.69060E+00	 -5.98052E-01	    -7.498828%
  -9	   3	 -2.55386E+01	  9.02159E+00	  2.67395E+01	  2.90875E+00	 -9.69587E-01	  2.68026E+00	 -8.93566E-01	    -7.854003%
  -9	   4	 -2.55386E+01	  1.19618E+01	  2.76107E+01	  2.90875E+00	 -1.29278E+00	  2.66620E+00	 -1.18513E+00	    -8.336809%
  -9	   5	 -2.55386E+01	  1.48395E+01	  2.86680E+01	  2.90875E+00	 -1.61598E+00	  2.64885E+00	 -1.47175E+00	    -8.932925%
  -9	   6	 -2.55386E+01	  1.76427E+01	  2.98753E+01	  2.90875E+00	 -1.93917E+00	  2.62872E+00	 -1.75266E+00	    -9.624368%
  -9	   7	 -2.55386E+01	  2.03613E+01	  3.11979E+01	  2.90875E+00	 -2.26237E+00	  2.60645E+00	 -2.02744E+00	   -10.389538%
  -9	   8	 -2.55386E+01	  2.29875E+01	  3.26037E+01	  2.90875E+00	 -2.58557E+00	  2.58279E+00	 -2.29603E+00	   -11.202705%
  -9	   9	 -2.55386E+01	  2.55154E+01	  3.40650E+01	  2.90875E+00	 -2.90876E+00	  2.55866E+00	 -2.55889E+00	   -12.031999%
  -9	  10	 -2.55386E+01	  2.79413E+01	  3.55579E+01	  2.90875E+00	 -3.23196E+00	  2.53535E+00	 -2.81730E+00	   -12.833090%
  -9	  11	 -2.55386E+01	  3.02629E+01	  3.70629E+01	  2.90875E+00	 -3.55515E+00	  2.51511E+00	 -3.07428E+00	   -13.528774%
  -9	  12	 -2.55386E+01	  3.24798E+01	  3.85641E+01	  2.90875E+00	 -3.87835E+00	  2.50352E+00	 -3.33828E+00	   -13.927399%
  -8	 -12	 -2.30116E+01	 -3.25202E+01	  3.74973E+01	  2.58556E+00	  3.87835E+00	  2.23213E+00	  3.34794E+00	   -13.673974%
  -8	 -11	 -2.30116E+01	 -3.03053E+01	  3.58847E+01	  2.58556E+00	  3.55515E+00	  2.24998E+00	  3.09347E+00	   -12.983727%
