Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.47000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  5.39847E-05
 -12  -12 Ray Error
 -12   12 Ray Error
  12  -12 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -10	   9	 -2.79635E+01	  2.55154E+01	  3.55612E+01	  3.23299E+00	 -2.90970E+00	  2.81662E+00	 -2.53521E+00	   -12.875044%
 -10	  10	 -2.79635E+01	  2.79413E+01	  3.69286E+01	  3.23299E+00	 -3.23300E+00	  2.79464E+00	 -2.79490E+00	   -13.554911%
 -10	  11	 -2.79635E+01	  3.02629E+01	  3.83161E+01	  3.23299E+00	 -3.55630E+00	  2.77800E+00	 -3.05607E+00	   -14.069444%
 -10	  12	 -2.79635E+01	  3.24798E+01	  3.97086E+01	  3.23299E+00	 -3.87960E+00	  2.77907E+00	 -3.33514E+00	   -14.036627%
  -9	 -12	 -2.55386E+01	 -3.25202E+01	  3.85943E+01	  2.90969E+00	  3.87960E+00	  2.49908E+00	  3.33184E+00	   -14.116537%
  -9	 -11	 -2.55386E+01	 -3.03053E+01	  3.70931E+01	  2.90969E+00	  3.55630E+00	  2.51363E+00	  3.07195E+00	   -13.616347%
  -9	 -10	 -2.55386E+01	 -2.79857E+01	  3.55879E+01	  2.90969E+00	  3.23300E+00	  2.53510E+00	  2.81652E+00	   -12.878465%
  -9	  -9	 -2.55386E+01	 -2.55618E+01	  3.40945E+01	  2.90969E+00	  2.90970E+00	  2.55899E+00	  2.55875E+00	   -12.057183%
  -9	  -8	 -2.55386E+01	 -2.30357E+01	  3.26323E+01	  2.90969E+00	  2.58640E+00	  2.58340E+00	  2.29614E+00	   -11.217858%
  -9	  -7	 -2.55386E+01	 -2.04113E+01	  3.12251E+01	  2.90969E+00	  2.26310E+00	  2.60719E+00	  2.02762E+00	   -10.399699%
  -9	  -6	 -2.55386E+01	 -1.76943E+01	  2.99006E+01	  2.90969E+00	  1.93980E+00	  2.62952E+00	  1.75283E+00	    -9.632043%
