Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.63000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref = -9.43229E-05
 -12  -12 Ray Error
 -12  -11 Ray Error
 -12   11 Ray Error
 -12   12 Ray Error
 -11  -12 Ray Error
 -11   12 Ray Error
  11  -12 Ray Error
  11   12 Ray Error
  12  -12 Ray Error
  12  -11 Ray Error
  12   11 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -7	  -3	 -2.03863E+01	 -9.07711E+00	  2.20309E+01	  2.26330E+00	  9.69993E-01	  2.14212E+00	  9.17959E-01	    -5.355610%
  -7	  -2	 -2.03863E+01	 -6.08901E+00	  2.11442E+01	  2.26330E+00	  6.46662E-01	  2.15142E+00	  6.14605E-01	    -4.944274%
  -7	  -1	 -2.03863E+01	 -3.06731E+00	  2.05851E+01	  2.26330E+00	  3.23331E-01	  2.15711E+00	  3.08076E-01	    -4.692641%
  -7	   0	 -2.03863E+01	 -2.84622E-02	  2.03917E+01	  2.26330E+00	 -0.00000E+00	  2.15902E+00	 -8.03774E-05	    -4.607534%
  -7	   1	 -2.03863E+01	  3.01055E+00	  2.05781E+01	  2.26330E+00	 -3.23331E-01	  2.15711E+00	 -3.08241E-01	    -4.691258%
  -7	   2	 -2.03863E+01	  6.03272E+00	  2.11306E+01	  2.26330E+00	 -6.46662E-01	  2.15144E+00	 -6.14783E-01	    -4.941556%
  -7	   3	 -2.03863E+01	  9.02159E+00	  2.20116E+01	  2.26330E+00	 -9.69993E-01	  2.14215E+00	 -9.18157E-01	    -5.351658%
  -7	   4	 -2.03863E+01	  1.19618E+01	  2.31682E+01	  2.26330E+00	 -1.29332E+00	  2.12949E+00	 -1.21696E+00	    -5.910409%
  -7	   5	 -2.03863E+01	  1.48395E+01	  2.45421E+01	  2.26330E+00	 -1.61665E+00	  2.11382E+00	 -1.50999E+00	    -6.602498%
  -7	   6	 -2.03863E+01	  1.76427E+01	  2.60771E+01	  2.26330E+00	 -1.93999E+00	  2.09556E+00	 -1.79633E+00	    -7.408770%
  -7	   7	 -2.03863E+01	  2.03613E+01	  2.77237E+01	  2.26330E+00	 -2.26332E+00	  2.07523E+00	 -2.07538E+00	    -8.306543%
  -7	   8	 -2.03863E+01	  2.29875E+01	  2.94400E+01	  2.26330E+00	 -2.58665E+00	  2.05342E+00	 -2.34694E+00	    -9.269735%
  -7	   9	 -2.03863E+01	  2.55154E+01	  3.11925E+01	  2.26330E+00	 -2.90998E+00	  2.03082E+00	 -2.61124E+00	   -10.268343%
  -7	  10	 -2.03863E+01	  2.79413E+01	  3.29546E+01	  2.26330E+00	 -3.23331E+00	  2.00823E+00	 -2.86910E+00	   -11.266185%
  -7	  11	 -2.03863E+01	  3.02629E+01	  3.47059E+01	  2.26330E+00	 -3.55664E+00	  1.98678E+00	 -3.12230E+00	   -12.213738%
  -7	  12	 -2.03863E+01	  3.24798E+01	  3.64309E+01	  2.26330E+00	 -3.87997E+00	  1.96842E+00	 -3.37467E+00	   -13.024662%
  -6	 -12	 -1.76685E+01	 -3.25202E+01	  3.55115E+01	  1.93997E+00	  3.87997E+00	  1.69566E+00	  3.39110E+00	   -12.598601%
  -6	 -11	 -1.76685E+01	 -3.03053E+01	  3.36777E+01	  1.93997E+00	  3.55664E+00	  1.71405E+00	  3.14222E+00	   -11.650514%
  -6	 -10	 -1.76685E+01	 -2.79857E+01	  3.18036E+01	  1.93997E+00	  3.23331E+00	  1.73438E+00	  2.89044E+00	   -10.602505%
  -6	  -9	 -1.76685E+01	 -2.55618E+01	  2.99035E+01	  1.93997E+00	  2.90998E+00	  1.75537E+00	  2.63288E+00	    -9.520190%
  -6	  -8	 -1.76685E+01	 -2.30357E+01	  2.79967E+01	  1.93997E+00	  2.58665E+00	  1.77619E+00	  2.36810E+00	    -8.446567%
  -6	  -7	 -1.76685E+01	 -2.04113E+01	  2.61096E+01	  1.93997E+00	  2.26332E+00	  1.79618E+00	  2.09541E+00	    -7.415851%
  -6	  -6	 -1.76685E+01	 -1.76943E+01	  2.42769E+01	  1.93997E+00	  1.93999E+00	  1.81476E+00	  1.81464E+00	    -6.457799%
  -6	  -5	 -1.76685E+01	 -1.48927E+01	  2.25440E+01	  1.93997E+00	  1.61665E+00	  1.83141E+00	  1.52608E+00	    -5.598920%
  -6	  -4	 -1.76685E+01	 -1.20163E+01	  2.09681E+01	  1.93997E+00	  1.29332E+00	  1.84568E+00	  1.23037E+00	    -4.862523%
